"","V1","V2","V3"
"599","delay_defraud","whether_contract","siphon_fund"
"600","board_director","celotex_catrett","percent_stock"
"601","unjust_enrich","suffici_establish","mere_facad"
"602","delawar_corpor","instant_action","number_factor"
"603","corpor_owner","agreement_therefor","element_injustic"
"604","oper_manag","daili_oper","fundament_unfair"
"605","cite_support","determin_corpor","lack_evid"
"606","alleg_suffici","asst_atti","warrant_disregard"
"607","whether_individu","dismiss_dismiss","affirm_affirm"
"608","seek_pierc","employe_retir","transfer_corpor"
"609","joint_sever","retir_secur","defend_dismiss"
"610","sever_liabl","secur_erisa","corpor_repres"
"611","conclus_find","misus_corpor","corpor_treat"
"612","secur_exchang","hereinaft_refer","aris_relat"
"613","control_oper","appli_test","jurisdict_assert"
"614","howev_court","test_appli","corpor_undercapit"
"615","serv_presid","rule_appli","refus_grant"
"616","outstand_share","corpor_ident","author_cite"
"617","day-to-day_oper","entiti_alter","liabil_attach"
"618","right_control","establish_corpor","servic_perform"
"619","limit_person","degre_control","shell_corpor"
"620","partnership_corpor","trebl_damag","manufactur_compani"
"621","corpor_compani","statutori_author","loan_money"
"622","correct_note","person_entiti","agent_employe"
"623","line_credit","right_duti","cours_employ"
"624","respect_dissent","zenith_radio","restat_agenc"
"625","compani_organ","congress_enact","breach_impli"
"626","perform_servic","find_favor","corpor_base"
"627","stock_subsidiari","base_contract","without_author"
"628","receiv_salari","relationship_among","alon_insuffici"
"629","file_petit","appli_principl","establish_alter"
"630","corpor_oper","corpor_pierc","reason_interpret"
"631","properti_also","corpor_constitut","right_liabil"
"632","agreement_execut","engag_activ","behind_corpor"
"633","vicari_liabl","corpor_parent","uniform_commerci"
"634","work_capit","parent_liabl","ampl_evid"
"635","present_evid","liabl_oblig","invest_compani"
"636","manag_busi","specif_provid","asset_compani"
"637","reason_follow","control_stock","evid_relat"
"638","trade_name","took_place","creditor_seek"
"639","individu_person","advers_affect","find_merit"
"640","conduct_busi","violat_statutori","failur_disclos"
"641","vice_presid","materi_regard","properti_without"
"642","emphasi_suppli","judici_proceed","direct_corpor"
"643","stand_proposit","support_affidavit","applic_corpor"
"644","activ_involv","intern_quotat","transfer_transfer"
"645","necessari_protect","quotat_mark","individu_entiti"
"646","seek_recov","mark_omit","test_whether"
"647","compani_form","absenc_fraud","hold_otherwis"
"648","damag_must","hold_parent","control_exercis"
"649","element_must","compani_liabl","corpor_remain"
"650","also_conclud","action_caus","remain_asset"
"651","must_plead","corpor_headquart","sound_discret"
"652","gave_rise","common_stock","much_less"
"653","statutori_scheme","duti_corpor","mere_alter"
"654","short_thereaft","broad_discret","liabil_contract"
"655","clear_indic","action_taken","reason_doubt"
"656","letter_date","independ_entiti","appli_whether"
"657","satisfi_burden","whether_appli","corpor_provid"
"658","brief_argu","corpor_organ","court_view"
"659","regardless_whether","come_forward","within_court"
"660","favor_find","corpor_separ","action_involv"
"661","analysi_whether","court_discret","corpor_sinc"
"662","prima_faci","distinct_corpor","liabl_person"
"663","howev_whether","corpor_regard","behalf_corpor"
"664","absenc_genuin","whether_exercis","u.s.c_also"
"665","review_court","compli_requir","entiti_person"
"666","dismiss_prejudic","suffer_injuri","whether_genuin"
"667","execut_contract","leav_amend","amend_constitut"
"668","file_action","relationship_parent","jurisdict_alleg"
"669","servic_provid","negoti_contract","alleg_action"
"670","also_argu","check_drawn","corpor_alon"
"671","bona_fide","good_servic","alter_relationship"
"672","fals_statement","written_consent","polici_under"
"673","liabil_damag","ownership_stock","provid_suffici"
"674","evid_show","agreement_agreement","revers_caus"
"675","submit_affidavit","amicus_curia","caus_remand"
"676","automat_stay","also_evid","evid_reason"
"677","court_reason","compani_stock","whether_circumst"
"678","corpor_find","entiti_pierc","work_perform"
"679","capit_contribut","reason_pierc","alleg_misrepresent"
"680","addit_evid","plain_mean","neglig_misrepresent"
"681","contractu_oblig","labor_relat","class_action"
"682","therefor_hold","share_offic","am.jur_corpor"
"683","financi_statement","veil_corpor","privat_right"
"684","agent_corpor","entiti_defeat","scintilla_evid"
"685","corpor_purchas","defeat_public","corpor_agent"
"686","asset_liabil","public_conveni","corpor_transfer"
"687","grant_favor","conveni_justifi","statutori_definit"
"688","individu_corpor","justifi_wrong","test_determin"
"689","termin_contract","wrong_protect","manag_oper"
"690","corpor_offic","protect_fraud","money_corpor"
"691","major_stockhold","fraud_defend","corpor_meet"
"692","purpos_avoid","defend_crime","telephon_call"
"693","avoid_person","execut_offic","princip_corpor"
"694","alleg_corpor","liabl_contract","depend_whether"
"695","contract_execut","book_account","entiti_also"
"696","intent_defraud","subsidiari_separ","action_action"
"697","defraud_creditor","corpor_howev","liabil_howev"
"698","real_estat","pension_plan","howev_sinc"
"699","sought_pierc","liabl_subsidiari","damag_sustain"
"700","veil_impos","corpor_note","clear_show"
"701","direct_verdict","perform_duti","element_requir"
"702","verdict_favor","reli_represent","exist_circumst"
"703","need_decid","corpor_mere","differ_conclus"
"704","court_refus","individu_respons","suffer_loss"
"705","agreement_enter","regard_corpor","final_enter"
"706","natur_person","avoid_oblig","therefor_consid"
"707","employ_person","corpor_associ","adequ_remedi"
"708","separ_distinct","circumst_justifi","find_matter"
"709","person_engag","equit_relief","appoint_receiv"
"710","suffici_reason","corpor_without","must_taken"
"711","entiti_disregard","wrong_perpetr","corpor_bank"
"712","oblig_corpor","assert_defens","equit_consider"
"713","vice_versa","entiti_separ","fall_short"
"714","must_appear","circumst_must","oper_singl"
"715","appear_corpor","common_sens","employ_agreement"
"716","separ_person","compani_subsidiari","element_fraud"
"717","corpor_ceas","argu_entitl","prove_corpor"
"718","exercis_discret","reason_discuss","presid_chief"
"719","petit_alleg","relev_whether","motor_vehicl"
"720","separ_exist","account_account","enforc_right"
"721","exist_corpor","prevent_injustic","offic_also"
"722","person_seek","stockhold_corpor","without_evid"
"723","seek_disregard","howev_also","control_domin"
"724","remand_direct","member_board","exist_disregard"
"725","concur_dissent","contract_corpor","evid_submit"
"726","corpor_creat","refus_pierc","damag_suffer"
"727","fraud_wrong","hide_behind","protect_right"
"728","action_howev","compani_engag","rais_genuin"
"729","evid_favor","right_oblig","oblig_liabil"
"730","necessari_pierc","domin_control","uniform_fraudul"
"731","also_assert","corpor_wholli","conclud_corpor"
"732","corpor_structur","stockhold_person","wright_miller"
"733","must_dismiss","either_corpor","injuri_suffer"
"734","corpor_insolv","worker_compens","improp_purpos"
"735","individu_offic","financi_respons","taken_place"
"736","corpor_engag","relev_evid","permit_pierc"
"737","exercis_reason","termin_agreement","corpor_return"
"738","engag_busi","note_evid","direct_liabil"
"739","money_receiv","find_court","action_pend"
"740","burden_prove","transact_occur","distinct_sharehold"
"741","prove_element","attempt_avoid","fraudul_misrepresent"
"742","turn_whether","appel_divis","whether_creditor"
"743","carri_burden","suffici_fund","liabil_pierc"
"744","transfer_debtor","reason_reli","direct_liabl"
"745","debtor_properti","affair_corpor","common_offic"
"746","failur_provid","sole_stockhold","factor_must"
"747","financi_record","sever_month","busi_ventur"
"748","requir_satisfi","imposit_liabil","invest_corpor"
"749","absenc_evid","control_mere","howev_requir"
"750","tortious_interfer","recogn_separ","common_ownership"
"751","busi_deal","unjust_loss","employe_offic"
"752","debtor_insolv","seek_hold","violat_u.s.c"
"753","insolv_debtor","agreement_alleg","whether_court"
"754","point_evid","person_capac","corpor_partnership"
"755","interest_corpor","fraudul_induc","actual_construct"
"756","stand_alon","reason_given","control_compani"
"757","howev_fail","theori_recoveri","sharehold_sharehold"
"758","lack_person","base_theori","initi_burden"
"759","direct_evid","infer_drawn","corpor_establish"
"760","employ_corpor","organ_corpor","termin_employ"
"761","evid_point","compani_incorpor","repres_capac"
"762","corpor_instrument","constitut_fraud","fraudul_represent"
"763","financi_condit","protect_person","evid_tend"
"764","reason_anticip","misc_n.y.","servic_corpor"
"765","factor_consid","contract_contract","prong_test"
"766","dismiss_without","entiti_distinct","individu_name"
"767","consid_decid","corpor_relationship","materi_whether"
"768","sent_letter","contract_alleg","undercapit_failur"
"769","corpor_purpos","properti_purchas","suffici_justifi"
